codigo_producto,nombre_producto,tipo_b_s,categoria_codigo,subcategoria_codigo,procedencia_pais,iva_pct,precio_lista_1,precio_lista_2,precio_lista_3,activo_catalogo,lote_export,marca_color_catalogo
VSAG020MR36007536,"POLIGLACTIN 2-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 36MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VSAG020TC36407036,"POLIGLACTIN 2-0, AGUJA PUNTA CORTANTE 3/8 CIRC, LONG 36.4MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,GRIS
VSAG030MR25007036,"POLIGLACTIN 3-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 25MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
VSAG030TC19007036,"POLIGLACTIN 3-0, AGUJA PUNTA CORTANTE 3/8 CIRC, LONG 19MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
VSAG040MC25007036,"POLIGLACTIN 4-0, AGUJA PUNTA CORTANTE 1/2 CIRC, LONG 25MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
VSAG040MR20007036,"POLIGLACTIN 4-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 20MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AMARILLO
VSAG040TC25007036,"POLIGLACTIN 4-0, AGUJA CORTANTE 3/8 CIRC, LONG 25MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,NARANJA
VSAG050MC15007036,"POLIGLACTIN 5-0, AGUJA PUNTA CORTANTE 1/2 CIRC, LONG 15MM, LARGO DE HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VSAG050MC20007036,"POLIGLACTIN 5-0, AGUJA PUNTA CORTANTE 1/2 CIRC, LONG 20MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,GRIS
VSAG050MR20007036,"POLIGLACTIN 5-0, AGUJA REDONDA 1/2 CIRC, LONG 20MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
VSAG050TC15004536,"POLIGLACTIN 5-0, AGUJA CORTANTE 3/8 CIRC, LONG 15MM, HEBRA 45CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
VSAG060MR20007036,"POLIGLACTIN 6-0, AGUJA REDONDA 1/2 CIRC, LONG 20MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
VSAG060TC15007036,"POLIGLACTIN 6-0, AGUJA 3/8 CIRC CORTANTE, LONG 15MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AMARILLO
VSAG070TE06004536B,"POLIGLACTIN 7-0, AGUJA PUNTA ESPATULADA 6.0MM, 3/8 CIRC, 2 AGUJAS 45CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,NARANJA
VSAP001MR25007536,"ACIDO POLIGLICOLICO 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 25MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VSAP001MR35007036,"ACIDO POLIGLICOLICO 1-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,GRIS
VSAP001MR35007536,"ACIDO POLIGLICOLICO 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
VSAP001MR37007036,"ACIDO POLIGLICOLICO 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 37MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
VSAP001MR37007536,"ACIDO POLIGLICOLICO 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 37MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
VSAP002MR35007536,"ACIDO POLIGLICOLICO 2, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AMARILLO
VSAP010MR25007036,"ACIDO POLIGLICOLICO 1-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 25M, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,NARANJA
VSAP010MR35007036,"ACIDO POLIGLICOLICO 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VSAP010MR37007036,"ACIDO POLIGLICOLICO 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 37MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,GRIS
VSAP020MR25007036,"ACIDO POLIGLICOLICO 2, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 25MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
VSAP020MR35007536,"ACIDO POLIGLICOLICO 2-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
VSAP020MR36007036,"ACIDO POLIGLICOLICO 2-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 36MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
VSAP020MR37007536,"ACIDO POLIGLICOLICO 2-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 37MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AMARILLO
VSAP030MR26007036,"ACIDO POLIGLICOLICO 3-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 26MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,NARANJA
VSAP030MR35007036,"ACIDO POLIGLICOLICO 3-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VSAP050MR17007536,"ACIDO POLIGLICOLICO 5-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 17MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,GRIS
VSAP050MR20007036,"ACIDO POLIGLICOLICO 5-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 20MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
VSAP050TC15007036,"ACIDO POLIGLICOLICO 5-0, AGUJA PUNTA CORTANTE 3/8, CIR, LONG 15MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
VSAP060QE08007012D,"ACIDO POLIGLICOLICO 6-0, DOBLE AGUJA 1/4 CIRC ESPATULADA, LONG 8MM, HEBRA 70CM C/2A",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
VSCC001MR26007536,"CATGUT CROMICO 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 26MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AMARILLO
VSCC001MR35007536,"CATGUT CROMICO 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,NARANJA
